Id,Prediction
1,5
2,7
3,9
4,9
5,9
6,0
7,8
8,0
9,4
10,5
11,9
12,5
13,5
14,4
15,0
16,2
17,8
18,9
19,0
20,1
21,0
22,9
23,7
24,3
25,8
26,5
27,4
28,9
29,0
30,6
31,4
32,6
33,0
34,3
35,5
36,7
37,9
38,3
39,7
40,3
41,8
42,8
43,8
44,4
45,6
46,4
47,8
48,1
49,0
50,3
51,7
52,0
53,9
54,7
55,6
56,9
57,8
58,6
59,9
60,7
61,7
62,4
63,1
64,7
65,7
66,9
67,0
68,9
69,6
70,5
71,5
72,3
73,1
74,9
75,2
76,8
77,3
78,6
79,0
80,6
81,4
82,8
83,0
84,4
85,3
86,1
87,1
88,8
89,3
90,0
91,6
92,0
93,2
94,1
95,8
96,2
97,0
98,1
99,1
100,4
101,3
102,4
103,0
104,3
105,5
106,1
107,0
108,0
109,2
110,5
111,7
112,5
113,9
114,2
115,5
116,6
117,3
118,1
119,4
120,2
121,2
122,9
123,1
124,7
125,6
126,3
127,6
128,2
129,0
130,5
131,0
132,4
133,8
134,7
135,6
136,2
137,0
138,0
139,0
140,6
141,4
142,2
143,2
144,5
145,0
146,6
147,9
148,5
149,7
150,1
151,4
152,9
153,3
154,2
155,3
156,1
157,3
158,7
159,6
160,8
161,8
162,5
163,2
164,6
165,6
166,2
167,5
168,0
169,0
170,4
171,7
172,3
173,1
174,1
175,4
176,7
177,9
178,9
179,8
180,7
181,9
182,1
183,3
184,6
185,1
186,8
187,8
188,9
189,5
190,5
191,8
192,8
193,4
194,9
195,4
196,2
197,7
198,1
199,3
200,4
201,8
202,3
203,1
204,0
205,6
206,2
207,0
208,2
209,6
210,0
211,1
212,0
213,8
214,1
215,4
216,0
217,9
218,6
219,7
220,1
221,6
222,9
223,1
224,7
225,8
226,0
227,5
228,6
229,5
230,4
231,6
232,6
233,5
234,5
235,0
236,4
237,0
238,3
239,4
240,3
241,0
242,9
243,8
244,3
245,3
246,8
247,0
248,9
249,7
250,4
251,0
252,7
253,8
254,3
255,3
256,4
257,4
258,0
259,8
260,6
261,8
262,1
263,4
264,9
265,0
266,0
267,3
268,9
269,5
270,0
271,2
272,9
273,7
274,7
275,2
276,0
277,1
278,5
279,0
280,1
281,3
282,3
283,0
284,3
285,0
286,3
287,5
288,5
289,2
290,8
291,1
292,8
293,4
294,1
295,6
296,4
297,0
298,6
299,1
300,7
301,1
302,5
303,7
304,4
305,4
306,8
307,6
308,8
309,1
310,6
311,0
312,3
313,3
314,4
315,0
316,8
317,9
318,4
319,8
320,4
321,0
322,0
323,9
324,9
325,6
326,0
327,0
328,2
329,2
330,0
331,4
332,9
333,1
334,6
335,3
336,0
337,4
338,2
339,0
340,8
341,0
342,4
343,7
344,2
345,9
346,5
347,0
348,7
349,1
350,7
351,6
352,5
353,1
354,5
355,6
356,7
357,5
358,9
359,9
360,0
361,3
362,9
363,5
364,2
365,7
366,4
367,1
368,6
369,0
370,8
371,2
372,6
373,1
374,4
375,8
376,0
377,0
378,6
379,0
380,4
381,3
382,3
383,1
384,3
385,2
386,8
387,0
388,6
389,7
390,8
391,0
392,7
393,8
394,6
395,6
396,3
397,9
398,5
399,3
400,0
401,8
402,2
403,7
404,1
405,7
406,2
407,9
408,4
409,6
410,6
411,8
412,5
413,1
414,8
415,2
416,6
417,3
418,1
419,9
420,9
421,8
422,0
423,7
424,4
425,1
426,6
427,4
428,7
429,2
430,6
431,3
432,0
433,1
434,1
435,0
436,8
437,0
438,1
439,5
440,5
441,1
442,2
443,8
444,2
445,4
446,1
447,6
448,7
449,7
450,7
451,6
452,9
453,4
454,5
455,6
456,6
457,9
458,5
459,2
460,7
461,0
462,9
463,7
464,3
465,3
466,9
467,7
468,3
469,0
470,5
471,9
472,0
473,7
474,7
475,1
476,4
477,7
478,8
479,1
480,4
481,6
482,7
483,0
484,6
485,3
486,3
487,5
488,1
489,3
490,8
491,1
492,6
493,7
494,8
495,9
496,8
497,8
498,6
499,5
500,2
501,7
502,7
503,9
504,1
505,1
506,1
507,6
508,5
509,5
510,1
511,5
512,2
513,8
514,2
515,1
516,2
517,9
518,7
519,2
520,4
521,4
522,4
523,7
524,0
525,2
526,5
527,0
528,2
529,6
530,5
531,6
532,1
533,4
534,0
535,6
536,1
537,9
538,5
539,4
540,1
541,6
542,9
543,5
544,4
545,6
546,2
547,1
548,4
549,1
550,7
551,9
552,6
553,3
554,2
555,8
556,1
557,2
558,1
559,9
560,0
561,5
562,8
563,9
564,5
565,8
566,0
567,9
568,3
569,6
570,7
571,5
572,4
573,5
574,1
575,1
576,8
577,5
578,2
579,5
580,5
581,0
582,8
583,2
584,6
585,0
586,6
587,0
588,9
589,8
590,8
591,4
592,4
593,2
594,3
595,2
596,5
597,9
598,7
599,5
600,8
601,9
602,1
603,5
604,4
605,3
606,0
607,7
608,3
609,9
610,6
611,1
612,9
613,3
614,2
615,2
616,8
617,9
618,0
619,4
620,5
621,3
622,3
623,0
624,1
625,0
626,6
627,4
628,7
629,0
630,8
631,5
632,2
633,2
634,1
635,9
636,8
637,1
638,0
639,7
640,2
641,1
642,7
643,7
644,8
645,8
646,6
647,5
648,8
649,9
650,9
651,0
652,4
653,8
654,3
655,4
656,5
657,0
658,1
659,4
660,0
661,1
662,5
663,1
664,7
665,1
666,9
667,4
668,8
669,7
670,5
671,4
672,9
673,2
674,1
675,7
676,5
677,7
678,9
